loss,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0759,1.9600000000000002e-05,1.65,196,,,,,,,,,,,,,
0.1107,1.97e-05,1.66,197,,,,,,,,,,,,,
0.087,1.9800000000000004e-05,1.66,198,,,,,,,,,,,,,
0.1015,1.9900000000000003e-05,1.67,199,,,,,,,,,,,,,
0.0765,2e-05,1.68,200,,,,,,,,,,,,,
0.0878,2.01e-05,1.69,201,,,,,,,,,,,,,
0.0898,2.0200000000000003e-05,1.7,202,,,,,,,,,,,,,
0.0714,2.0300000000000002e-05,1.71,203,,,,,,,,,,,,,
0.0717,2.04e-05,1.71,204,,,,,,,,,,,,,
0.0816,2.05e-05,1.72,205,,,,,,,,,,,,,
0.0981,2.06e-05,1.73,206,,,,,,,,,,,,,
0.0681,2.07e-05,1.74,207,,,,,,,,,,,,,
0.1072,2.08e-05,1.75,208,,,,,,,,,,,,,
0.1414,2.09e-05,1.76,209,,,,,,,,,,,,,
0.1202,2.1e-05,1.76,210,,,,,,,,,,,,,
0.0731,2.11e-05,1.77,211,,,,,,,,,,,,,
0.074,2.12e-05,1.78,212,,,,,,,,,,,,,
0.088,2.13e-05,1.79,213,,,,,,,,,,,,,
0.0929,2.1400000000000002e-05,1.8,214,,,,,,,,,,,,,
0.104,2.15e-05,1.81,215,,,,,,,,,,,,,
0.1127,2.16e-05,1.82,216,,,,,,,,,,,,,
0.0899,2.1700000000000002e-05,1.82,217,,,,,,,,,,,,,
0.0632,2.18e-05,1.83,218,,,,,,,,,,,,,
0.066,2.19e-05,1.84,219,,,,,,,,,,,,,
0.0519,2.2000000000000003e-05,1.85,220,,,,,,,,,,,,,
0.0671,2.2100000000000002e-05,1.86,221,,,,,,,,,,,,,
0.0955,2.22e-05,1.87,222,,,,,,,,,,,,,
0.0594,2.23e-05,1.87,223,,,,,,,,,,,,,
0.0638,2.2400000000000002e-05,1.88,224,,,,,,,,,,,,,
0.0761,2.25e-05,1.89,225,,,,,,,,,,,,,
0.0672,2.26e-05,1.9,226,,,,,,,,,,,,,
