loss,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.1817,1.85e-05,1.55,185,,,,,,,,,,,,,
0.1248,1.86e-05,1.56,186,,,,,,,,,,,,,
0.1056,1.87e-05,1.57,187,,,,,,,,,,,,,
0.1543,1.88e-05,1.58,188,,,,,,,,,,,,,
0.0997,1.8900000000000002e-05,1.59,189,,,,,,,,,,,,,
0.118,1.9e-05,1.6,190,,,,,,,,,,,,,
0.1093,1.91e-05,1.61,191,,,,,,,,,,,,,
0.1138,1.9200000000000003e-05,1.61,192,,,,,,,,,,,,,
0.1522,1.93e-05,1.62,193,,,,,,,,,,,,,
0.0978,1.94e-05,1.63,194,,,,,,,,,,,,,
0.1749,1.9500000000000003e-05,1.64,195,,,,,,,,,,,,,
0.1511,1.9600000000000002e-05,1.65,196,,,,,,,,,,,,,
0.181,1.97e-05,1.66,197,,,,,,,,,,,,,
0.1371,1.9800000000000004e-05,1.66,198,,,,,,,,,,,,,
0.0925,1.9900000000000003e-05,1.67,199,,,,,,,,,,,,,
0.1126,2e-05,1.68,200,,,,,,,,,,,,,
0.1092,2.01e-05,1.69,201,,,,,,,,,,,,,
0.0633,2.0200000000000003e-05,1.7,202,,,,,,,,,,,,,
0.1031,2.0300000000000002e-05,1.71,203,,,,,,,,,,,,,
0.0662,2.04e-05,1.71,204,,,,,,,,,,,,,
0.1367,2.05e-05,1.72,205,,,,,,,,,,,,,
0.0959,2.06e-05,1.73,206,,,,,,,,,,,,,
0.1174,2.07e-05,1.74,207,,,,,,,,,,,,,
0.1089,2.08e-05,1.75,208,,,,,,,,,,,,,
0.0999,2.09e-05,1.76,209,,,,,,,,,,,,,
0.1148,2.1e-05,1.76,210,,,,,,,,,,,,,
0.1247,2.11e-05,1.77,211,,,,,,,,,,,,,
0.0982,2.12e-05,1.78,212,,,,,,,,,,,,,
0.1122,2.13e-05,1.79,213,,,,,,,,,,,,,
0.086,2.1400000000000002e-05,1.8,214,,,,,,,,,,,,,
0.1627,2.15e-05,1.81,215,,,,,,,,,,,,,
0.086,2.16e-05,1.82,216,,,,,,,,,,,,,
0.1444,2.1700000000000002e-05,1.82,217,,,,,,,,,,,,,
0.1046,2.18e-05,1.83,218,,,,,,,,,,,,,
0.126,2.19e-05,1.84,219,,,,,,,,,,,,,
0.079,2.2000000000000003e-05,1.85,220,,,,,,,,,,,,,
0.1137,2.2100000000000002e-05,1.86,221,,,,,,,,,,,,,
0.0759,2.22e-05,1.87,222,,,,,,,,,,,,,
0.1168,2.23e-05,1.87,223,,,,,,,,,,,,,
0.1077,2.2400000000000002e-05,1.88,224,,,,,,,,,,,,,
0.0951,2.25e-05,1.89,225,,,,,,,,,,,,,
0.1092,2.26e-05,1.9,226,,,,,,,,,,,,,
0.0853,2.2700000000000003e-05,1.91,227,,,,,,,,,,,,,
0.1109,2.2800000000000002e-05,1.92,228,,,,,,,,,,,,,
0.0861,2.29e-05,1.92,229,,,,,,,,,,,,,
0.0933,2.3000000000000003e-05,1.93,230,,,,,,,,,,,,,
0.0648,2.3100000000000002e-05,1.94,231,,,,,,,,,,,,,
0.1285,2.32e-05,1.95,232,,,,,,,,,,,,,
0.0766,2.3300000000000004e-05,1.96,233,,,,,,,,,,,,,
0.0573,2.3400000000000003e-05,1.97,234,,,,,,,,,,,,,
0.1253,2.35e-05,1.97,235,,,,,,,,,,,,,
0.1086,2.36e-05,1.98,236,,,,,,,,,,,,,
0.0786,2.37e-05,1.99,237,,,,,,,,,,,,,
0.1095,2.38e-05,2.0,238,,,,,,,,,,,,,
,,2.0,238,0.10744664818048477,0.7444444444444445,0.7919621749408984,0.7674684994272623,0.9709966059858068,1.206,350.742,22.388,,,,,
0.0863,2.39e-05,2.01,239,,,,,,,,,,,,,
0.059,2.4e-05,2.02,240,,,,,,,,,,,,,
0.0372,2.41e-05,2.03,241,,,,,,,,,,,,,
0.0497,2.4200000000000002e-05,2.03,242,,,,,,,,,,,,,
0.1088,2.43e-05,2.04,243,,,,,,,,,,,,,
0.0965,2.44e-05,2.05,244,,,,,,,,,,,,,
0.0746,2.45e-05,2.06,245,,,,,,,,,,,,,
0.0648,2.46e-05,2.07,246,,,,,,,,,,,,,
0.0625,2.47e-05,2.08,247,,,,,,,,,,,,,
0.0764,2.48e-05,2.08,248,,,,,,,,,,,,,
0.097,2.4900000000000002e-05,2.09,249,,,,,,,,,,,,,
0.0735,2.5e-05,2.1,250,,,,,,,,,,,,,
0.0538,2.51e-05,2.11,251,,,,,,,,,,,,,
0.0632,2.5200000000000003e-05,2.12,252,,,,,,,,,,,,,
0.0745,2.5300000000000002e-05,2.13,253,,,,,,,,,,,,,
0.0973,2.54e-05,2.13,254,,,,,,,,,,,,,
0.103,2.5500000000000003e-05,2.14,255,,,,,,,,,,,,,
0.0777,2.5600000000000002e-05,2.15,256,,,,,,,,,,,,,
0.0703,2.57e-05,2.16,257,,,,,,,,,,,,,
0.0916,2.58e-05,2.17,258,,,,,,,,,,,,,
0.0538,2.5900000000000003e-05,2.18,259,,,,,,,,,,,,,
0.0555,2.6000000000000002e-05,2.18,260,,,,,,,,,,,,,
0.0693,2.61e-05,2.19,261,,,,,,,,,,,,,
0.0615,2.6200000000000003e-05,2.2,262,,,,,,,,,,,,,
0.0618,2.6300000000000002e-05,2.21,263,,,,,,,,,,,,,
0.1594,2.64e-05,2.22,264,,,,,,,,,,,,,
0.0428,2.6500000000000004e-05,2.23,265,,,,,,,,,,,,,
0.0728,2.6600000000000003e-05,2.24,266,,,,,,,,,,,,,
0.0693,2.6700000000000002e-05,2.24,267,,,,,,,,,,,,,
0.0478,2.6800000000000004e-05,2.25,268,,,,,,,,,,,,,
0.0694,2.6900000000000003e-05,2.26,269,,,,,,,,,,,,,
0.075,2.7000000000000002e-05,2.27,270,,,,,,,,,,,,,
0.0561,2.7100000000000005e-05,2.28,271,,,,,,,,,,,,,
0.0764,2.7200000000000004e-05,2.29,272,,,,,,,,,,,,,
0.0643,2.7300000000000003e-05,2.29,273,,,,,,,,,,,,,
0.0841,2.7400000000000002e-05,2.3,274,,,,,,,,,,,,,
0.0537,2.7500000000000004e-05,2.31,275,,,,,,,,,,,,,
0.0837,2.7600000000000003e-05,2.32,276,,,,,,,,,,,,,
0.0483,2.7700000000000002e-05,2.33,277,,,,,,,,,,,,,
0.0424,2.7800000000000005e-05,2.34,278,,,,,,,,,,,,,
0.0581,2.7900000000000004e-05,2.34,279,,,,,,,,,,,,,
0.064,2.8000000000000003e-05,2.35,280,,,,,,,,,,,,,
0.0541,2.8100000000000005e-05,2.36,281,,,,,,,,,,,,,
0.0692,2.8199999999999998e-05,2.37,282,,,,,,,,,,,,,
0.1032,2.83e-05,2.38,283,,,,,,,,,,,,,
0.0481,2.84e-05,2.39,284,,,,,,,,,,,,,
0.0523,2.8499999999999998e-05,2.39,285,,,,,,,,,,,,,
0.0555,2.86e-05,2.4,286,,,,,,,,,,,,,
0.0258,2.87e-05,2.41,287,,,,,,,,,,,,,
0.0638,2.88e-05,2.42,288,,,,,,,,,,,,,
0.0632,2.8899999999999998e-05,2.43,289,,,,,,,,,,,,,
0.0904,2.9e-05,2.44,290,,,,,,,,,,,,,
0.0347,2.91e-05,2.45,291,,,,,,,,,,,,,
0.0562,2.9199999999999998e-05,2.45,292,,,,,,,,,,,,,
0.0372,2.93e-05,2.46,293,,,,,,,,,,,,,
0.0571,2.94e-05,2.47,294,,,,,,,,,,,,,
0.0963,2.95e-05,2.48,295,,,,,,,,,,,,,
0.0867,2.96e-05,2.49,296,,,,,,,,,,,,,
0.0787,2.97e-05,2.5,297,,,,,,,,,,,,,
0.0571,2.98e-05,2.5,298,,,,,,,,,,,,,
0.0661,2.9900000000000002e-05,2.51,299,,,,,,,,,,,,,
0.0504,3e-05,2.52,300,,,,,,,,,,,,,
0.0672,3.01e-05,2.53,301,,,,,,,,,,,,,
0.0825,3.02e-05,2.54,302,,,,,,,,,,,,,
0.0461,3.03e-05,2.55,303,,,,,,,,,,,,,
0.024,3.04e-05,2.55,304,,,,,,,,,,,,,
0.0288,3.05e-05,2.56,305,,,,,,,,,,,,,
0.0545,3.06e-05,2.57,306,,,,,,,,,,,,,
0.0541,3.07e-05,2.58,307,,,,,,,,,,,,,
0.0456,3.08e-05,2.59,308,,,,,,,,,,,,,
0.0659,3.09e-05,2.6,309,,,,,,,,,,,,,
0.0625,3.1e-05,2.61,310,,,,,,,,,,,,,
0.0584,3.1100000000000004e-05,2.61,311,,,,,,,,,,,,,
0.0923,3.12e-05,2.62,312,,,,,,,,,,,,,
0.0488,3.13e-05,2.63,313,,,,,,,,,,,,,
0.1141,3.1400000000000004e-05,2.64,314,,,,,,,,,,,,,
0.0836,3.15e-05,2.65,315,,,,,,,,,,,,,
0.0945,3.16e-05,2.66,316,,,,,,,,,,,,,
0.098,3.1700000000000005e-05,2.66,317,,,,,,,,,,,,,
0.0325,3.18e-05,2.67,318,,,,,,,,,,,,,
0.0741,3.19e-05,2.68,319,,,,,,,,,,,,,
0.1136,3.2000000000000005e-05,2.69,320,,,,,,,,,,,,,
0.0312,3.21e-05,2.7,321,,,,,,,,,,,,,
